WKT,c_barri,c_carrer_id,c_codi_carrer,c_data_que_va_rebre_la_denominacio,c_denominacio,c_exp_historica_refos,c_fonts_refos,c_genere,c_nom_carrer_actual,c_period,c_segle,c_subtipologia,c_tipologia
"MULTILINESTRING ((2.16637 41.37948,2.16598 41.37945,2.16593 41.37945,2.16591 41.37947),(2.1662 41.37968,2.16591 41.37952,2.16591 41.37947),(2.16637 41.37948,2.16628 41.37966,2.1662 41.37968))",Raval,31,240106,0,plaça,"L'origen del nom podria ser una fita o pedró per assenyalar els camins en direcció a la ciutat. A la plaça s'aixecà l'any 1673 un monument dedicat a Santa Eulàlia, que substituí una antiga imatge de sant Hipòlit, i possiblement anteriorment hi havia una creu.","Cirici, Alexandre.Barcelona pam a pam. Barcelona: Teide, 1971.; Fabre, Jaume; Huertas, Josep M.; Bohigas, Pere. Monuments de Barcelona. Barcelona: L'Avenç, 1984.; Lecea, Ignasi de; Fabre, Jaume; Grandas, Carme; Huertas, Josep M.; Remesar, Antoni. Art públic de Barcelona. Barcelona: Ajuntament de Barcelona i Àmbit Serveis Editorials, 2009.",,del Pedró,s.d,s.d,Civil,Infraestructura
"MULTILINESTRING ((2.16896 41.38244,2.1684 41.3821),(2.16942 41.38271,2.16896 41.38244),(2.17123 41.38372,2.1711 41.38367,2.17085 41.38357,2.17066 41.38349,2.17049 41.3834,2.17032 41.38329),(2.16985 41.38295,2.16942 41.38271),(2.17032 41.38329,2.17023 41.38323,2.17001 41.38305,2.16985 41.38295))",Raval,33,256605,1877,carrer,"Marià Fortuny i Marsal (1838-1874) Pintor, dibuixant i gravador català. Representat en una escultura de 1922, obra de Miquel i Llucià Oslé, en el mateix carrer.","Vives, Rosa. Fortuny, gravador: estudi crític i catàleg raonat. Reus: Associació d'Estudis Reusencs, 1991.; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",Home,Pintor Fortuny,Contemporani,S. XIX,Artista,Persona
"LINESTRING (2.17067 41.38459,2.17047 41.38449,2.16988 41.38413)",Raval,34,51307,0,carrer,"El nom prové de convent de la Mare de Déu de Bonsuccés de l’orde dels servites, consagrat l’any 1635.","Cayetano Barraquer y Roviralta. Las casas de religiosos en Cataluña durante el primer tercio del siglo XIX. Imprenta de Francisco J. Altés. Barcelona, 1906.; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",,Bonsuccés,"Abans de 1900, 1635",S. XVII,Religiosa,Infraestructura
"MULTILINESTRING ((2.16825 41.38315,2.16784 41.38291),(2.16932 41.38379,2.169 41.3836),(2.16871 41.38342,2.16859 41.38336,2.16838 41.38323,2.16825 41.38315),(2.169 41.3836,2.16871 41.38342))",Raval,36,108506,0,passatge,"El nom prové del beatari fundat per Joana Fornés l’any 1554, que es convertirà en el monestir de Santa Isabel el 1562. Les monges eren popularment denominades Elisabets.",Víctor Balaguer. Las calles de Barcelona en 1865.,,Elisabets,Contemporani,S. XIX,Religiosa,Infraestructura
"MULTILINESTRING ((2.17059 41.3847,2.17026 41.3847,2.16994 41.38471,2.16975 41.38472,2.1695 41.38474),(2.1695 41.38474,2.16882 41.3848,2.16855 41.38482,2.16816 41.38485,2.16807 41.38484),(2.16469 41.38516,2.16395 41.38525),(2.16807 41.38484,2.16794 41.38484,2.16774 41.38485,2.16753 41.38487,2.16728 41.38489,2.16673 41.38495,2.16661 41.38494),(2.16661 41.38494,2.16614 41.38499))",Raval,37,329800,1320,carrer,El nom del carrer prové dels talladors de carn que hi havia. També donava nom a un portal de la muralla construït l’any 1368.,"Víctor Balaguer. Las calles de Barcelona en 1865.; Cirici, Alexandre.Barcelona pam a pam. Barcelona: Teide, 1971.; Cubelles, Albert. La muralla medieval de Barcelona i els seus portals. Barcelona: MUHBA, 2007.",,Tallers,Medieval,S. XIV,,Gremis i oficis
"MULTILINESTRING ((2.16466 41.3859,2.16581 41.38583),(2.16771 41.38567,2.17009 41.38549),(2.16581 41.38583,2.16771 41.38567))",Raval,38,250904,1863,carrer,"Primer monarca del regne d’Astúries, segle VIII.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Pelai,Contemporani,S. XIX,Aristocràcia,Persona
"MULTILINESTRING ((2.1631 41.38554,2.16392 41.38494),(2.16466 41.3859,2.16413 41.38631),(2.16392 41.38494,2.16395 41.38525),(2.16395 41.38525,2.16397 41.38541,2.16466 41.3859))",Raval,39,349207,1863,plaça,"El nom prové per l’edifici de la Universitat de Barcelona, obra d’Elies Rogent, inaugurat l’any 1874.","Víctor Balaguer. Las calles de Barcelona en 1865; VV.AA. Elies Rogent i la Universitat de Barcelona. Barcelona: Generalitat de Catalunya, 1988.",,Universitat,Contemporani,S. XIX,Civil,Infraestructura
"MULTILINESTRING ((2.1676 41.38302,2.1675 41.38321),(2.1675 41.38321,2.16738 41.38338,2.16689 41.38384,2.16657 41.38417,2.16625 41.38447))",Raval,40,216906,1362,carrer,"El nom prové del Monestir de Santa Maria de Montalegre, de canongesses augustinianes que es van establir a la ciutat l’any 1362.","Masabeu, Josep. Santa Maria de Montalegre. Església de l'antiga Casa de Caritat. Centenari 1902-2002. Terrassa: Albada, 2004.",,Montalegre,Medieval,S. XIV,Religiosa,Infraestructura
"MULTILINESTRING ((2.16895 41.38155,2.1684 41.3821),(2.1684 41.3821,2.16783 41.38266))",Raval,41,16408,1562,carrer,"El nom prové del Monestir de la Mare de Déu dels Àngels de monges dominiques, ubicades extramurs i que l’any 1562 es traslladaren a la plaça que condueix al carrer.","Víctor Balaguer. Las calles de Barcelona en 1865.; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",,dels Àngels,Modern,S. XVI,Religiosa,Infraestructura
"MULTILINESTRING ((2.16783 41.38266,2.1678 41.38269,2.16771 41.38282),(2.16784 41.38291,2.16771 41.38282),(2.16771 41.38282,2.1676 41.38302),(2.1676 41.38302,2.16768 41.38306,2.16784 41.38291))",Raval,42,16601,1562,plaça,"El nom prové del Monestir de la Mare de Déu dels Àngels de monges dominiques, ubicades extramurs i que l’any 1562 es traslladaren a la plaça.","Víctor Balaguer. Las calles de Barcelona en 1865.; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",,dels Àngels,Modern,S. XVI,Religiosa,Infraestructura
"MULTILINESTRING ((2.16427 41.3828,2.16408 41.38267,2.16386 41.38252,2.1638 41.38248,2.16357 41.38232),(2.16494 41.38333,2.16468 41.38312,2.16442 41.38291,2.16427 41.3828),(2.16661 41.38494,2.1666 41.38489,2.16655 41.38481,2.16625 41.38447),(2.16625 41.38447,2.16563 41.38391),(2.16516 41.3835,2.16494 41.38333),(2.16563 41.38391,2.16516 41.3835))",Raval,43,352100,1670,carrer,"El nom prové del Monestir femení cistercenc de Santa Maria de Valldonzella, establert a l'antiga Casa del Priorat de Santa Maria de Natzaret des de 1670.","Albacete i Gascón, Antoni; Güell, Margarida. El reial monestir de Santa Maria de Valldonzella (1147-1922). Barcelona: Abadia de Montserrat, 2013.",,Valldonzella,Modern,S. XVII,Religiosa,Infraestructura
"MULTILINESTRING ((2.16644 41.38075,2.16628 41.38062,2.16613 41.38049),(2.16698 41.38117,2.16644 41.38075),(2.1684 41.3821,2.16834 41.38208,2.16782 41.38178,2.16764 41.38165),(2.16713 41.38129,2.16698 41.38117),(2.16764 41.38165,2.16713 41.38129))",Raval,44,254803,0,carrer,El nom prové d’una ermita del segle XV que va ser incorporada al convent dels Àngels l’any 1561.,"Víctor Balaguer. Las calles de Barcelona en 1865.; Aisa, Ferran. República, guerra i revolució, L’Ajuntament de Barcelona 1931-1939. Barcelona: Base, 2009.",,Peu de la Creu,Medieval,S. XV,Religiosa,Infraestructura
"MULTILINESTRING ((2.16952 41.38187,2.16896 41.38244),(2.16896 41.38244,2.16825 41.38315))",Raval,45,101609,0,carrer,"Ramon Llàtzer de Dou i de Bassols (1742-1832). Jurista, polític, economista i religiós català. Diputat i president de les Corts de Cadis (1810), canceller de la Universitat de Cervera.","Brocà, Guillem M. Biografia de D. Ramon Llàtzer de Dou i de Bassols. Barcelona: Ajuntament Constitucional de Barcelona, 1916.; Barraquer i Roviralta, Gaietà. Las casas de religiosos en Cataluña durante el primer tercio del siglo XIX. Vol. I. Barcelona, 19",Home,Doctor Dou,s.d,S. XIX,Polític,Persona
"MULTILINESTRING ((2.17129 41.3828,2.17032 41.38329),(2.17032 41.38329,2.17026 41.38333,2.1699 41.38352,2.16944 41.38373))",Raval,46,368802,1387,carrer,"Segons Victor Balaguer el nom és una corrupció de la paraula Joglar, el carrer està documentat des de 1387.","Víctor Balaguer. Las calles de Barcelona en 1865. ; Bofarull, A. Guía-Cicerone de Barcelona: aumentado, corregido y vindicado, 1855.",,Xuclà,Medieval,S. XIV,,Gremis i oficis
"LINESTRING (2.169 41.3836,2.16951 41.3832,2.1697 41.38306,2.16981 41.38298,2.16985 41.38295)",Raval,47,108608,1562,carrer,"El nom prové del beatari fundat per Joana Fornés l’any 1554, que es convertirà en el monestir de Santa Isabel el 1562. Les monges eren popularment denominades Elisabets.",Víctor Balaguer. Las calles de Barcelona en 1865.,,Elisabets,Modern,S. XVI,Religiosa,Infraestructura
"LINESTRING (2.16567 41.38505,2.16581 41.38583)",Raval,48,150207,0,carrer,Federico Carlo Gravina (1756-1806). Mariner i militar sicilià al servei de la monarquia d'Espanya.,Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Gravina,Contemporani,S. XIX,Metge/essa,Persona
"LINESTRING (2.16807 41.38484,2.16803 41.3849,2.16771 41.38567)",Raval,49,171003,0,carrer,"Gaspar Melchor María de Jovellanos y Ramírez (1744-1811). Escriptor, jurista i polític il·lustrat.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Jovellanos,Contemporani,S. XIX,Escriptor/a,Persona
"MULTILINESTRING ((2.16551 41.38478,2.16547 41.38455),(2.16526 41.38509,2.16469 41.38516),(2.16521 41.3848,2.16523 41.38494),(2.16551 41.38478,2.16554 41.3849),(2.16614 41.38499,2.1661 41.38492,2.16598 41.38476,2.16589 41.38473,2.16551 41.38478),(2.16554 41.3849,2.16523 41.38494),(2.16554 41.3849,2.16557 41.38499,2.16567 41.38505),(2.16614 41.38499,2.16567 41.38505),(2.16469 41.38516,2.16466 41.38493,2.16466 41.3849,2.16468 41.38488,2.16473 41.38486,2.16521 41.3848),(2.16523 41.38494,2.16526 41.38509),(2.16567 41.38505,2.16526 41.38509))",Raval,50,73809,1943,plaça,Regió de la Península Ibèrica.,"Moretó, B. coord. Guía de arquitectura de Barcelona. Plaza & Janés, 1987. 
Etiquetes relacionades amb el nom del carrer",,Castella,Franquisme,S. XX,,Geogràfic
"MULTILINESTRING ((2.16864 41.38426,2.16854 41.38435,2.16846 41.38445,2.16838 41.38454,2.16832 41.38462,2.16824 41.38471,2.16813 41.38478,2.16807 41.38484),(2.16932 41.38379,2.16915 41.3839),(2.16915 41.3839,2.16894 41.38404,2.16881 41.38414,2.16867 41.38424,2.16864 41.38426))",Raval,51,274006,0,carrer,"El nom prové del treball de preparació dels rams de flors, establertes en aquest carrer des del segle XVI.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,,Ramelleres,Modern,S. XVI,,Gremis i oficis
"MULTILINESTRING ((2.16383 41.38417,2.16413 41.38413,2.16475 41.38441),(2.16547 41.38455,2.16609 41.38445,2.16625 41.38447),(2.16475 41.38441,2.16517 41.38459),(2.16517 41.38459,2.16547 41.38455),(2.16517 41.38459,2.16521 41.3848))",Raval,52,341602,1923,carrer,"Fèlix Torres i Amat de Palou (1772-1847). Eclesiàstic, escriptor i polític català. Membre de l'Acadèmia de Bones Lletres (1816). Forma part de la Junta de govern durant el Trienni Liberal (1820). Canonge a Barcelona i bisbe d'Astorga (1833-47). Senador per Barcelona (1837 i 1840). Redactà la versió en llengua castellana de la Bíblia. És considerat un dels precursors de la Renaixença.","Pladevall, Antoni. Història de l'Església a Catalunya. Barcelona: Claret, 2007.; Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/",Home,Torres i Amat,Contemporani,S. XX,Eclesiàstic,Persona
"MULTILINESTRING ((2.16451 41.38373,2.16457 41.38378),(2.16457 41.38378,2.16477 41.3839,2.16489 41.38398,2.16496 41.38406,2.165 41.38413,2.16501 41.38418,2.1648 41.38435,2.16475 41.38441))",Raval,55,297602,0,passatge,"Bernat de Claravall (1090-1153), abat del Cister, i inspirador de l'arquitectura d'aquest orde monàstic. Reformador eclesiàstic, va elaborar el reglament dels cavallers Templers. Escriptor de nombroses cartes i homilies. El carrer està ubicat on havia estat el convent cistercenc femení de Valldonzella.",VV.AA. Bibliotheca Sanctorum.,Home,Sant Bernat,Contemporani,S. XX,Eclesiàstic,Persona
"LINESTRING (2.16516 41.3835,2.16457 41.38378)",Raval,56,365203,1855,carrer,Carrer que s’obre al segle XIX (documentat en mapa de 1855) per donar accés al convent de Valldonzella. La Verge del cor era la protectora d’aquest convent.,"Institut Cartogràfic i Geològic de Catalunya. Plano de Barcelona con la división de distritos. Sistema Acklin, 1855.",Dona,De la Verge,Contemporani,S. XX,Sant/a,Persona
"MULTILINESTRING ((2.16772 41.38076,2.16713 41.38129),(2.16713 41.38129,2.16697 41.38144),(2.16697 41.38144,2.16672 41.38167),(2.16451 41.38373,2.16411 41.38411,2.16383 41.38417),(2.16527 41.38301,2.16494 41.38333),(2.16494 41.38333,2.16451 41.38373),(2.1656 41.3827,2.16527 41.38301),(2.16672 41.38167,2.16603 41.38232),(2.16603 41.38232,2.1656 41.3827))",Raval,57,167709,1923,carrer,"Joaquín Costa Martínez (1846-1911) polític, notari, jurista, economista i historiador aragonès, màxim representant del  moviment regeneracionista.",Web de l’Ajuntament de Barcelona del nomenclàtor. http://www.bcn.cat/nomenclator/,Home,Joaquín Costa,Contemporani,S. XX,Polític,Persona
"LINESTRING (2.16698 41.38117,2.16681 41.38135,2.16697 41.38144)",Raval,58,108958,1981,plaça,"Emili Vendrell i Ibars 1893 – 1 d'agost, 1962) tenor català nascut al barri del Raval. Destacat i molt popular intèrpret de cançons tradicionals catalanes i sarsueles, anomenat “la veu del Poble”.","Badenas i Rico, M. El Paral·lel, història d'un mite. Barcelona, Pagès. 1998. a",Home,Emili Vendrell,Contemporani,S. XX,Músic,Persona
"MULTILINESTRING ((2.16527 41.38301,2.16448 41.38257),(2.16406 41.38235,2.16354 41.38208),(2.16448 41.38257,2.16406 41.38235))",Raval,59,335803,1847,carrer,"Mamífer. Carrer obert l’any 1847, i urbanitzat junt al de la Paloma i Lleó. Una versió popular afirma que el nom dels carrers era el de tres gossos d’una finca allà ubicada. Victor Balaguer desconeix l’origen i planteja que sigui amb la intenció de donar nom d’animals als carrers.","Víctor Balaguer. Las calles de Barcelona en 1865.; Ponsetí, M. Fitxes de nomenclatura, 1986.",,del Tigre,Contemporani,S. XX,,Animals
"MULTILINESTRING ((2.16448 41.38257,2.16427 41.3828),(2.16528 41.38175,2.16478 41.38226),(2.16478 41.38226,2.16448 41.38257))",Raval,60,177702,0,carrer,"Mamífer. Carrer obert l’any 1847, i urbanitzat junt al de la Paloma i Tigre. Una versió popular afirma que el nom dels carrers era el de tres gossos d’una finca allà ubicada. Victor Balaguer desconeix l’origen i planteja que sigui amb la intenció de donar nom d’animals als carrers.","Víctor Balaguer. Las calles de Barcelona en 1865.; Ponsetí, M. Fitxes de nomenclatura, 1986.",,del Lleó,Contemporani,S. XIX,,Animals
"MULTILINESTRING ((2.1656 41.3827,2.16478 41.38226),(2.16437 41.38202,2.16376 41.3817,2.16367 41.38171,2.16351 41.3818),(2.16478 41.38226,2.16437 41.38202))",Raval,61,242407,1847,carrer,"Au. Carrer obert l’any 1847, i urbanitzat junt al del Lleó i Tigre. Una versió popular afirma que el nom dels carrers era el de tres gossos d’una finca allà ubicada. Victor Balaguer desconeix l’origen i planteja que sigui amb la intenció de donar nom d’animals als carrers.","Víctor Balaguer. Las calles de Barcelona en 1865.; Ponsetí, M. Fitxes de nomenclatura, 1986.",,Paloma,Contemporani,S. XIX,,Animals
"MULTILINESTRING ((2.16592 41.3812,2.16528 41.38175),(2.16669 41.38053,2.16644 41.38075),(2.16644 41.38075,2.16592 41.3812))",Raval,62,183206,0,carrer,Satèl·lit de la terra. La denominació es va donar per referir-se al satèl·lit de la Terra.,Víctor Balaguer. Las calles de Barcelona en 1865.,,Lluna,Contemporani,S. XIX,,Al·legòric
